id,fonte,titulo,descricao,financiador,valor_max,data_encerramento,dias_restantes,status,areas_tematicas,uf_elegivel,url_original,is_real
3efeef909187,GIFE,Inscrições abertas para o Prêmio Construindo Cidadania,Iniciativa que reconhece e incentiva projetos educacionais voltados ao exercício da cidadania por meio da história social e política do Brasil desde a redemocratização. Inscrições limitadas às 100 primeiras candidaturas. Prazo para participar: até 30 de junho. O post Inscrições abertas para o Prêmio Construindo Cidadania apareceu primeiro em GIFE.,GIFE,,,-1,ativo,Investimento Social|Filantropia,Nacional,https://gife.org.br/inscricoes-abertas-para-o-premio-construindo-cidadania/#utm_source=rss&utm_medium=rss&utm_campaign=inscricoes-abertas-para-o-premio-construindo-cidadania,True
a05aa496b455,GIFE,Fundação FEAC lança 26ª edição do Prêmio de Jornalismo com foco em violência de gênero,"Premiação distribuirá R$ 50 mil e reconhecerá produções jornalísticas e de comunicação sobre o tema “Violência de Gênero: Convivência em Risco, Futuro em Jogo” A Fundação FEAC abre as inscrições para a 26ª edição do Prêmio Fundação FEAC de Jornalismo, que neste ano terá como tema “Violência de Gênero: Convivência em Risco, Futuro em Jogo”. [&#8230;] O post Fundação FEAC lança 26ª edição do Prêmio de Jornalismo com foco em violência de gênero apareceu primeiro em GIFE.",GIFE,50,,-1,ativo,Investimento Social|Filantropia,Nacional,https://gife.org.br/fundacao-feac-lanca-26a-edicao-do-premio-de-jornalismo-com-foco-em-violencia-de-genero/#utm_source=rss&utm_medium=rss&utm_campaign=fundacao-feac-lanca-26a-edicao-do-premio-de-jornalismo-com-foco-em-violencia-de-genero,True
390fa393b82e,Instituto Filantropia,Inscrições para o Prêmio Pacto Contra a Fome estão abertas,"Em sua quarta edição, premiação seleciona até seis projetos de impacto socioambiental, que serão contemplados com R$ 100 mil; inscrições gratuitas até 7 de julho The post Inscrições para o Prêmio Pacto Contra a Fome estão abertas appeared first on Rede Filantropia.",Instituto Filantropia,100,,-1,ativo,Terceiro Setor|Editais,Nacional,https://filantropia.ong/informacao/328376-inscricoes-para-o-premio-pacto-contra-a-fome-estao-abertas/,True
a805083035fe,Observatorio 3o Setor,Edital destinará mais de R$ 3 milhões para projetos de impacto ambiental no PR,"O Edital apoia inovações em licenciamento ambiental e monitoramento de empreendimentos; inscrições até o dia 27 de fevereiro Imagem: Freepik O Programa Biodiversidade Litoral do Paraná (BLP), por meio do Fundo Brasileiro para a Biodiversidade ... O post Edital destinará mais de R$ 3 milhões para projetos de impacto ambiental no PR apareceu primeiro em Observatório do 3° Setor.",Observatorio 3o Setor,3,,-1,ativo,Terceiro Setor|OSC,PR,https://observatorio3setor.org.br/edital-destinara-mais-de-r-3-milhoes-para-projetos-de-impacto-ambiental-no-pr/,True
01c165965236,Observatorio 3o Setor,Festival ABCR 2026 abre edital para propostas de palestras,"Principal encontro de captação e mobilização de recursos do país será realizado nos dias 3 e 4 de setembro, em São Paulo, e recebe sugestões de palestras para compor a programação até 2 de março ... O post Festival ABCR 2026 abre edital para propostas de palestras apareceu primeiro em Observatório do 3° Setor.",Observatorio 3o Setor,,,-1,ativo,Terceiro Setor|OSC,Nacional,https://observatorio3setor.org.br/festival-abcr-2026-abre-edital-para-propostas-de-palestras/,True
a43094bb1327,Observatorio 3o Setor,Instituto Lojas Renner lança edital de apoio financeiro a organizações sociais na Zona Oeste do Rio de Janeiro e na região de Cabreúva (SP),"Edição amplia iniciativa que já apoiou 12 projetos e investiu R$ 120 mil na comunidade Bom Jesus, em Porto Alegre O post Instituto Lojas Renner lança edital de apoio financeiro a organizações sociais na Zona Oeste do Rio de Janeiro e na região de Cabreúva (SP) apareceu primeiro em Observatório do 3° Setor.",Observatorio 3o Setor,120,,-1,ativo,Terceiro Setor|OSC,SP,https://observatorio3setor.org.br/instituto-lojas-renner-lanca-edital-de-apoio-financeiro-a-organizacoes-sociais-na-zona-oeste-do-rio-de-janeiro-e-na-regiao-de-cabreuva-sp/,True
36b62d4c2459,Observatorio 3o Setor,Pernambuco abre inscrições para projetos de prevenção social da violência com juventudes étnico-raciais,"Edital da Secretaria de Pernambuco destina R$ 100 mil por projeto e selecionará 16 organizações da sociedade civil para ações formativas e socioculturais voltadas a jovens negros, indígenas e de comunidades tradicionais; inscrições até 27 ... O post Pernambuco abre inscrições para projetos de prevenção social da violência com juventudes étnico-raciais apareceu primeiro em Observatório do 3° Setor.",Pernambuco,100,,-1,ativo,Terceiro Setor|OSC,Nacional,https://observatorio3setor.org.br/pernambuco-abre-inscricoes-para-projetos-de-prevencao-social-da-violencia-com-juventudes-etnico-raciais/,True
7a04e19c14d1,Observatorio 3o Setor,Fundo Hydro abre inscrições para projetos comunitários e negócios sustentáveis no Pará,"Edital do Programa Corredor, do Fundo Hydro vai selecionar iniciativas de desenvolvimento local nos municípios de Abaetetuba, Acará, Ipixuna do Pará, Moju, Paragominas e Tomé-Açu; inscrições seguem até 6 de janeiro de 2026 Imagem: Canva ... O post Fundo Hydro abre inscrições para projetos comunitários e negócios sustentáveis no Pará apareceu primeiro em Observatório do 3° Setor.",Hydro,,,-1,ativo,Terceiro Setor|OSC,Nacional,https://observatorio3setor.org.br/fundo-hydro-abre-inscricoes-para-projetos-comunitarios-e-negocios-sustentaveis-no-para/,True
8ad78cf693fc,Observatorio 3o Setor,Instituto Faber-Castell abre inscrições para apoiar projetos sociais,"Terceira chamada pública prioriza iniciativas sociais voltadas à educação de crianças e adolescentes de contraturno escolar e ações que promovam desenvolvimento integral, inclusão e bem-estar em comunidades vulneráveis Imagem: Canva O Instituto Faber-Castell abriu, nesta ... O post Instituto Faber-Castell abre inscrições para apoiar projetos sociais apareceu primeiro em Observatório do 3° Setor.",Observatorio 3o Setor,,,-1,ativo,Terceiro Setor|OSC,Nacional,https://observatorio3setor.org.br/instituto-faber-castell-abre-inscricoes-para-apoiar-projetos-sociais/,True
9da455520590,Observatorio 3o Setor,Edital fornece apoio a projetos para pessoas com deficiência no Amazonas,"A iniciativa da SEPcD, Edital do Amazonas vai destinar mais de R$ 5 milhões a até 20 organizações que promovem a inclusão e a cidadania das pessoas com deficiência; inscrições abertas até 31 de outubro. ... O post Edital fornece apoio a projetos para pessoas com deficiência no Amazonas apareceu primeiro em Observatório do 3° Setor.",Observatorio 3o Setor,5,,-1,ativo,Terceiro Setor|OSC,Nacional,https://observatorio3setor.org.br/edital-fornece-apoio-a-projetos-para-pessoas-com-deficiencia-no-amazonas/,True
