codigo_emenda,ano,parlamentar,tipo_parlamentar,uf_parlamentar,regiao_parlamentar,funcao,objeto,valor_autorizado,valor_empenhado,valor_pago,saldo_disponivel,areas_interesse,fonte,url,is_real
202550060002,2025,COM. ESPORTE,Emenda de Comissão,,,Desporto e Lazer,MÚLTIPLO,595892452.34,595892452.34,0.0,595892452.34,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202550060002,True
202450060001,2024,COM. ESPORTE,Emenda de Comissão,,,Desporto e Lazer,MÚLTIPLO,448969375.21,448969375.21,0.0,584722867.76,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202450060001,True
202550060001,2025,COM. ESPORTE,Emenda de Comissão,,,Desporto e Lazer,MÚLTIPLO,448494425.62,448494425.62,18602491.79,429891933.83,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202550060001,True
202571170003,2025,BANCADA DO PARANA,Emenda de Bancada,,,Educação,PARANÁ (UF),156522560.72,156522560.72,0.0,156522560.72,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571170003,True
202450060002,2024,COM. ESPORTE,Emenda de Comissão,,,Desporto e Lazer,MÚLTIPLO,87388583.59,87388583.59,0.0,103385922.48,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202450060002,True
202571140005,2025,BANCADA DE MINAS GERAIS,Emenda de Bancada,,,Educação,MINAS GERAIS (UF),74086747.61,74086747.61,0.0,74086747.61,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571140005,True
202471200006,2024,BANCADA DO RIO DE JANEIRO,Emenda de Bancada,,,Desporto e Lazer,MÚLTIPLO,71740279.0,71740279.0,0.0,71740279.0,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471200006,True
202471080003,2024,BANCADA DO DISTRITO FEDERAL,Emenda de Bancada,,,Educação,DISTRITO FEDERAL (UF),36500000.0,36500000.0,0.0,68341801.80000001,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471080003,True
202471080004,2024,BANCADA DO DISTRITO FEDERAL,Emenda de Bancada,,,Desporto e Lazer,DISTRITO FEDERAL (UF),61863140.25,61863140.25,0.0,61863140.25,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471080004,True
202571080008,2025,BANCADA DO DISTRITO FEDERAL,Emenda de Bancada,,,Educação,DISTRITO FEDERAL (UF),63380749.0,63380749.0,7708304.25,55672444.75,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571080008,True
202471050010,2024,BANCADA DO AMAPA,Emenda de Bancada,,,Desporto e Lazer,AMAPÁ (UF),38412094.0,38412094.0,0.0,53435108.81999999,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471050010,True
202471280004,2024,BANCADA DE TOCANTINS,Emenda de Bancada,,,Educação,TOCANTINS (UF),26625951.0,26625951.0,0.0,53251902.0,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471280004,True
202471090002,2024,BANCADA DO ESPIRITO SANTO,Emenda de Bancada,,,Educação,ESPÍRITO SANTO (UF),89750000.0,89750000.0,38743373.41,51006626.59,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471090002,True
202650060002,2026,COM. ESPORTE,Emenda de Comissão,,,Desporto e Lazer,MÚLTIPLO,50537217.0,50537217.0,0.0,50537217.0,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202650060002,True
202471170007,2024,BANCADA DO PARANA,Emenda de Bancada,,,Educação,PARANÁ (UF),45723970.0,45723970.0,0.0,45723970.0,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471170007,True
202471080011,2024,BANCADA DO DISTRITO FEDERAL,Emenda de Bancada,,,Educação,DISTRITO FEDERAL (UF),52072094.0,52072094.0,11274718.6,40797375.4,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471080011,True
202671240007,2026,BANCADA DE RORAIMA,Emenda de Bancada,,,Desporto e Lazer,RORAIMA (UF),39459106.0,39459106.0,0.0,39459106.0,desporto e lazer,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202671240007,True
202471200004,2024,BANCADA DO RIO DE JANEIRO,Emenda de Bancada,,,Educação,RIO DE JANEIRO (UF),39168105.0,39168105.0,0.0,39168105.0,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471200004,True
202471230008,2024,BANCADA DE RONDONIA,Emenda de Bancada,,,Educação,RONDÔNIA (UF),59768387.4,59768387.4,22599640.03,37168747.37,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471230008,True
202571080006,2025,BANCADA DO DISTRITO FEDERAL,Emenda de Bancada,,,Educação,DISTRITO FEDERAL (UF),33812794.59,33812794.59,1533296.48,32279498.110000003,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571080006,True
202571020007,2025,BANCADA DO ACRE,Emenda de Bancada,,,Educação,ACRE (UF),42075000.0,42075000.0,14163440.86,27911559.14,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571020007,True
202571090001,2025,BANCADA DO ESPIRITO SANTO,Emenda de Bancada,,,Educação,ESPÍRITO SANTO (UF),51847567.0,51847567.0,24245582.17,27601984.83,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202571090001,True
202471270006,2024,BANCADA DE SERGIPE,Emenda de Bancada,,,Educação,SERGIPE (UF),13800000.0,13800000.0,0.0,27600000.0,educação,Portal Transparência,https://portaldatransparencia.gov.br/emendas/202471270006,True
