nome_empresa,setor,uf_sede,regiao_sede,faturamento_anual,lucro_liquido,potencial_investimento,score_empresa,site,descricao
Vale,Mineração e Siderurgia,RJ,Sudeste,107605445047,10760544505,437147120,1.0,,LIE: R$461.9M | Rouanet: R$883.2M | Total historico 2022-2025: R$1345.1M
Itau,Financeiro,SP,Sudeste,55537710307,5553771031,225621948,0.9848,,LIE: R$220.1M | Rouanet: R$474.1M | Total historico 2022-2025: R$694.2M
Nubank,Financeiro,SP,Sudeste,39329566756,3932956676,159776365,0.9712,,LIE: R$165.6M | Rouanet: R$326.0M | Total historico 2022-2025: R$491.6M
Shell,Petróleo e Gás,RJ,Sudeste,30706572947,3070657295,124745453,0.9595,,LIE: R$118.4M | Rouanet: R$265.5M | Total historico 2022-2025: R$383.8M
Petrobras,Petróleo e Gás,RJ,Sudeste,46098420831,4609842083,187274835,0.9514,,LIE: R$34.4M | Rouanet: R$541.8M | Total historico 2022-2025: R$576.2M
Santander,Financeiro,SP,Sudeste,21551826482,2155182648,87554295,0.9439,,LIE: R$78.9M | Rouanet: R$190.5M | Total historico 2022-2025: R$269.4M
Bradesco,Financeiro,SP,Sudeste,23225327482,2322532748,94352893,0.9332,,LIE: R$34.4M | Rouanet: R$255.9M | Total historico 2022-2025: R$290.3M
Banco Do Brasil,Financeiro,CE,Nordeste,18054178714,1805417871,73345101,0.9259,,LIE: R$33.2M | Rouanet: R$192.5M | Total historico 2022-2025: R$225.7M
Bndes,Financeiro,RJ,Sudeste,17142021175,1714202118,69639461,0.9168,,LIE: R$20.0M | Rouanet: R$194.3M | Total historico 2022-2025: R$214.3M
John Deere,Automotivo,PR,Sul,10981686624,1098168662,44613102,0.9151,,LIE: R$38.6M | Rouanet: R$98.7M | Total historico 2022-2025: R$137.3M
Sabesp,Saneamento,SP,Sudeste,10540082013,1054008201,42819083,0.9131,,LIE: R$36.4M | Rouanet: R$95.4M | Total historico 2022-2025: R$131.8M
B3,Financeiro,SP,Sudeste,10121609770,1012160977,41119040,0.913,,LIE: R$39.0M | Rouanet: R$87.6M | Total historico 2022-2025: R$126.5M
Nova Transportadora Do Sudeste,Logística,SP,Sudeste,9004588495,900458850,36581141,0.9087,,LIE: R$36.0M | Rouanet: R$76.6M | Total historico 2022-2025: R$112.6M
Cbmm,Mineração e Siderurgia,MG,Sudeste,7750992926,775099293,31488409,0.907,,LIE: R$41.8M | Rouanet: R$55.1M | Total historico 2022-2025: R$96.9M
Btg Pactual,Financeiro,SP,Sudeste,8618725583,861872558,35013573,0.9064,,LIE: R$33.4M | Rouanet: R$74.4M | Total historico 2022-2025: R$107.7M
Porto Seguro,Financeiro,SP,Sudeste,7941075898,794107590,32260621,0.904,,LIE: R$32.9M | Rouanet: R$66.4M | Total historico 2022-2025: R$99.3M
Vicunha-Csn,Mineração e Siderurgia,SP,Sudeste,8180015430,818001543,33231313,0.903,,LIE: R$29.2M | Rouanet: R$73.1M | Total historico 2022-2025: R$102.3M
Motiva,Outros,SP,Sudeste,7980909816,798090982,32422446,0.9019,,LIE: R$28.4M | Rouanet: R$71.3M | Total historico 2022-2025: R$99.8M
Caixa Seguros,Financeiro,DF,Centro-Oeste,7575149398,757514940,30774044,0.8984,,LIE: R$24.7M | Rouanet: R$70.0M | Total historico 2022-2025: R$94.7M
Cpfl,Energia,SP,Sudeste,7170919983,717091998,29131862,0.8977,,LIE: R$26.0M | Rouanet: R$63.7M | Total historico 2022-2025: R$89.6M
Cemig,Energia,MG,Sudeste,6634712002,663471200,26953518,0.8957,,LIE: R$26.0M | Rouanet: R$56.9M | Total historico 2022-2025: R$82.9M
Vivo,Telecomunicações,SP,Sudeste,6635402994,663540299,26956325,0.895,,LIE: R$24.9M | Rouanet: R$58.1M | Total historico 2022-2025: R$82.9M
