processo,proponente,nome_projeto,sli,manifestacao,modalidade_esportiva,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,is_real
71000.036236/2024-16,ADESP - Associacao Desportiva Santa Helena de Futsal,Futsal Santa Helena - PR,2401071,Rendimento,Futsal,44.273.835/0001-90,Santa Helena,PR,Sul,390116.45,0.0,390116.45,0.0,2024-07-12,2024-07-12,2026-07-08,2024,Captando,1.0,True
71000.036246/2024-43,Associacao Comunitária dos Moradores dos Bairros Acácias e São Dimas,Atleta do Futuro,2401076,Rendimento,Futsal,20.277.701/0001-80,Caetanópolis,MG,Sudeste,258027.0,0.0,258027.0,0.0,2024-11-06,2024-11-06,2026-07-08,2024,Captando,1.0,True
71000.035648/2024-21,Associação de Futebol Americano do Litoral,Almirantes Esports 2025,2401056,Rendimento,Outros,32.462.842/0001-51,Itajaí,SC,Sul,69000.0,0.0,69000.0,0.0,2024-07-17,2024-07-17,2026-07-08,2024,Captando,1.0,True
71000.036245/2024-07,International Police Association Brasil Section Regional do Estado de Minas Gerais IPA Brasil/MG,Formação de Atletas do Fogo,2401075,Rendimento,Atletismo/Natação/Outros,31.373.177/0001-67,Belo Horizonte,MG,Sudeste,486575.55,0.0,486575.55,0.0,2024-07-19,2024-07-19,2026-07-08,2024,Captando,1.0,True
71000.036229/2024-14,UNIPA - Uniao Independente de Pais e Atletas,Foz Cataratas Futsal - Um time realizando sonhos,2401069,Rendimento,Futsal,11.840.357/0001-02,Foz do Iguaçu,PR,Sul,477316.1,0.0,477316.1,0.0,2024-07-19,2024-07-19,2026-07-08,2024,Captando,1.0,True
71000.034734/2024-16,Associação Atlética Acadêmica Manoel de Abreu,AAAMA - Incentivo ao Esporte Universitário da Medicina Santa Casa II,2400986,Rendimento,Atletismo/Baseball/Basquete/Futebol/Handebol Indoor/Judô/Tênis/Tênis de Mesa/Vôlei de quadra/Natação/Xadrez_x000D_,10.390.830/0001-26,São Paulo,SP,Sudeste,205572.9,0.0,205572.9,0.0,2024-07-17,2024-07-17,2026-07-08,2024,Captando,1.0,True
71000.036488/2024-37,Associação do Clube de Atletismo Rio do Sul,Quebrando Recordes Atletismo Rio do Sul,2401084,Rendimento,Atletismo,07.286.694/0001-14,Rio do Sul,SC,Sul,128519.4,0.0,128519.4,0.0,2024-07-24,2024-07-24,2026-07-08,2024,Captando,1.0,True
71000.035636/2024-04,Instituto ASR - Alfenas Siqueira Racing,Kart ASR – Novos Talentos IX,2401051,Rendimento,Kart,18.841.533/0001-61,Cascavel,PR,Sul,376580.4,0.0,376580.4,0.0,2024-07-19,2024-07-19,2026-07-08,2024,Captando,1.0,True
71000.037504/2024-17,Instituto Barueri Paraolímpico,Bocha Paralímpica Barueri ano III,2401107,Rendimento,Outros,10.503.748/0001-60,Barueri,SP,Sudeste,310514.4,0.0,310514.4,0.0,2024-07-19,2024-07-19,2026-07-08,2024,Captando,1.0,True
71000.034789/2024-26,Instituto Décio Mertz,Equipe Jocopar Maringá,2401013,Rendimento,Outros/Futebol 7 Society/Beach Tênis_x000D_,23.275.671/0001-60,Cascavel,PR,Sul,98584.5,0.0,98584.5,0.0,2024-07-19,2024-07-19,2026-07-08,2024,Captando,1.0,True
