processo,proponente,nome_projeto,sli,segmento_cultural,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,lei,area,is_real
262131,ERLANIA PAULA DA SILVA,Samba da Sala _ Vivência de Coco na Casa do Dendê,,Apresentação/Gravação Música Popular Cantada,***501494**,Recife,PE,Nordeste,75230.1001,0.0,75230.1001,0.0,2026-07-04,2026-07-04,2026-07-05,2026,Captando,1.0,Rouanet,Cultura,True
250128,KIWI EVENTOS LTDA,Nosso Brasil 2º edição– Aleijadinho: Arte e Legado – Título Provisório,,Prod Av Radio/Podcast,03363937000110,São Paulo,SP,Sudeste,197479.7945,0.0,197479.7945,0.0,2025-11-03,2025-11-03,2026-06-30,2025,Captando,1.0,Rouanet,Cultura,True
2512398,CORPORACAO MUSICAL SANTA CECILIA,Concerto de Gala - Orquestra Sinfônica Municipal de Campinas,,Apresentação/Gravação de Música Erudita,59012195000132,Paulínia,SP,Sudeste,334857.5996,0.0,334857.5996,0.0,2025-11-28,2025-11-28,2026-06-30,2025,Captando,1.0,Rouanet,Cultura,True
259151,DANIEL MARIMON BOUCINHA 92532543000,Um dia positivo,,Exposição Cultural / Artística,33082075000118,Porto Alegre,RS,Sul,109619.7295,0.0,109619.7295,0.0,2026-01-01,2026-01-01,2026-06-30,2025,Captando,1.0,Rouanet,Cultura,True
263531,RF PRODUCOES E ASSESSORIA LTDA,Mostra THEREcine 2026,,Difusão de acerv e conteúdo AV diver meios/suporte,15294264000172,Teresina,PI,Nordeste,198341.0,0.0,198341.0,0.0,2026-04-01,2026-04-01,2026-06-30,2026,Captando,1.0,Rouanet,Cultura,True
250368,ANIMAL FILMES PRODUCOES ENTRETENIMENTOS LTDA,"Agro Do Brasil - Passado, Presente e Futuro ",,Prod. AV curta/média mtragem/Tv Edu Cult,24524666000107,Rio de Janeiro,RJ,Sudeste,288981.0,0.0,288981.0,0.0,2024-11-10,2024-11-10,2026-06-20,2025,Captando,1.0,Rouanet,Cultura,True
263531,RF PRODUCOES E ASSESSORIA LTDA,Mostra THEREcine 2026,,Difusão de acerv e conteúdo AV diver meios/suporte,15294264000172,Teresina,PI,Nordeste,198341.0,0.0,198341.0,0.0,2026-04-01,2026-04-01,2026-06-30,2026,Captando,1.0,Rouanet,Cultura,True
2514710,MAURA RODRIGUES ESTEVAO,Vozes da Periferia,,Event Literá/Ações Edu-Cult Incen Leitu/SlamSarau,***507146**,Belo Horizonte,MG,Sudeste,50178.1499,0.0,50178.1499,0.0,2026-03-02,2026-03-02,2026-06-30,2025,Captando,1.0,Rouanet,Cultura,True
263052,PROJETO AMA VIDA,Mostra Cultural Humaniza e Acolhe: Arte e Neurodiversidade na Rocinha,,"Teatro Musical (c/ dramaturgia, danças e canções)",05828655000176,Niterói,RJ,Sudeste,169186.0498,0.0,169186.0498,0.0,2026-06-08,2026-06-08,2026-07-08,2026,Captando,1.0,Rouanet,Cultura,True
262367,CENTRAL NORDESTE EMPREENDIMENTOS LTDA,Caravana Gospel Music,,Apresentação/Gravação de Música Regional,12853003000157,Salvador,BA,Nordeste,499554.0,0.0,499554.0,0.0,2026-05-11,2026-05-11,2026-07-11,2026,Captando,1.0,Rouanet,Cultura,True
261895,WEBER HENRIQUES RANGEL,ARENA SUMMIT GAMES 2026,,Difusão de acerv e conteúdo AV diver meios/suporte,***900236**,Belo Horizonte,MG,Sudeste,499702.51,0.0,499702.51,0.0,2026-05-01,2026-05-01,2026-06-30,2026,Captando,1.0,Rouanet,Cultura,True
